time,action,price,qty_btc,pnl_pct,capital_after,reason
2026-07-02 16:58,BUY,80.26,12.447060,,0.00,強制測試買入
2026-07-02 17:03,SELL,80.56,12.447060,+0.17%,1001.73,強制測試賣出
2026-07-02 17:17,BUY,81.03,12.350138,,0.00,強制測試買入
2026-07-02 17:31,SELL,80.99,12.350138,-0.25%,999.24,強制測試賣出
2026-07-02 20:33,BUY,80.70,12.369754,,0.00,策略訊號進場
2026-07-03 01:19,SELL,81.12,12.369754,+0.32%,1002.43,RSI(9)>62超買出場
2026-07-03 03:53,BUY,80.71,12.407751,,0.00,策略訊號進場
2026-07-03 05:33,SELL,81.02,12.407751,+0.18%,1004.27,RSI(9)>62超買出場
2026-07-03 07:51,BUY,81.46,12.316075,,0.00,強制測試買入
2026-07-03 08:53,SELL,80.92,12.316075,-0.86%,995.62,RSI(9)>62超買出場
2026-07-03 14:23,BUY,81.15,12.256630,,0.00,策略訊號進場
2026-07-03 17:46,SELL,81.72,12.256630,+0.50%,1000.61,RSI(9)>62超買出場
2026-07-03 23:03,BUY,82.35,12.138562,,0.00,策略訊號進場
2026-07-04 00:33,SELL,82.60,12.138562,+0.10%,1001.64,RSI(9)>62超買出場
2026-07-04 01:33,BUY,82.04,12.197001,,0.00,策略訊號進場
2026-07-04 03:33,SELL,82.44,12.197001,+0.29%,1004.52,RSI(9)>62超買出場
2026-07-04 07:03,BUY,82.40,12.178540,,0.00,策略訊號進場
2026-07-04 15:03,SELL,81.72,12.178540,-1.02%,994.24,RSI(9)>62超買出場
