time,action,price,qty_btc,pnl_pct,capital_after,reason
2026-07-06 03:23,BUY,72.04,13.867502,,0.00,策略訊號進場
2026-07-06 05:33,SELL,70.78,13.867502,-1.95%,980.49,跌幅超過1.5%停損
2026-07-06 06:33,BUY,70.86,13.822218,,0.00,策略訊號進場
2026-07-06 11:33,SELL,70.75,13.822218,-0.36%,976.93,RSI(9)>70超買出場
2026-07-06 12:33,BUY,69.83,13.976546,,0.00,策略訊號進場
2026-07-06 15:23,SELL,70.21,13.976546,+0.35%,980.34,RSI(9)>70超買出場
2026-07-06 21:54,BUY,71.23,13.749850,,0.00,策略訊號進場
2026-07-07 04:23,SELL,70.04,13.749850,-1.86%,962.06,跌幅超過1.5%停損
2026-07-07 05:23,BUY,69.63,13.802982,,0.00,策略訊號進場
2026-07-07 07:03,SELL,70.95,13.802982,+1.69%,978.31,RSI(9)>70超買出場
2026-07-07 14:24,BUY,71.10,13.745374,,0.00,策略訊號進場
2026-07-07 19:24,SELL,69.94,13.745374,-1.83%,960.43,跌幅超過1.5%停損
2026-07-07 20:24,BUY,70.17,13.672754,,0.00,策略訊號進場
2026-07-08 01:33,SELL,69.01,13.672754,-1.86%,942.56,跌幅超過1.5%停損
2026-07-09 10:54,BUY,67.51,13.948227,,0.00,策略訊號進場
