time,action,price,qty_btc,pnl_pct,capital_after,reason
2026-07-27 16:20,SHORT,57.47,17.383605,,0.00,策略訊號做空
2026-08-03 20:58,COVER,54.53,17.383605,+4.92%,1048.20,漲破EMA50趨勢覆蓋（反轉）
2026-08-06 12:15,SHORT,55.39,18.905029,,0.00,策略訊號做空
2026-08-07 00:19,COVER,56.22,18.905029,-1.70%,1029.33,漲破EMA50趨勢覆蓋（反轉）
2026-08-07 09:13,SHORT,55.63,18.484652,,0.00,策略訊號做空
2026-08-07 13:32,COVER,56.96,18.484652,-2.59%,1001.62,漲破EMA50趨勢覆蓋（反轉）
2026-08-07 20:19,SHORT,54.63,18.315906,,0.00,策略訊號做空
2026-08-10 20:25,COVER,55.92,18.315906,-2.56%,974.98,漲破EMA50趨勢覆蓋（反轉）
2026-08-14 12:26,SHORT,56.25,17.316625,,0.00,策略訊號做空
2026-08-14 20:08,COVER,55.74,17.316625,+0.70%,980.80,漲破EMA50趨勢覆蓋（反轉）
2026-08-15 12:55,SHORT,56.08,17.473013,,0.00,策略訊號做空
2026-08-15 16:36,COVER,56.85,17.473013,-1.59%,964.28,漲破EMA50趨勢覆蓋（反轉）
2026-08-19 04:18,SHORT,58.44,16.484781,,0.00,策略訊號做空
2026-08-19 08:42,COVER,58.20,16.484781,+0.20%,965.29,漲破EMA50趨勢覆蓋（反轉）
