time,action,price,qty_btc,pnl_pct,capital_after,reason
2026-07-05 19:33,BUY,80.93,13.356372,,0.00,策略訊號進場
2026-07-05 21:33,SELL,81.50,13.356372,+0.50%,1087.46,RSI(9)>62超買出場
2026-07-06 00:33,BUY,81.23,13.373992,,0.00,策略訊號進場
2026-07-06 01:03,SELL,82.20,13.373992,+0.99%,1098.24,RSI(9)>62超買出場
2026-07-06 03:03,BUY,81.03,13.539994,,0.00,策略訊號進場
2026-07-06 07:53,SELL,80.94,13.539994,-0.31%,1094.83,RSI(9)>62超買出場
2026-07-06 23:33,BUY,82.14,13.315527,,0.00,策略訊號進場
2026-07-07 04:53,SELL,80.81,13.315527,-1.82%,1074.95,跌幅超過1.5%停損
2026-07-07 19:03,BUY,81.31,13.207205,,0.00,策略訊號進場
2026-07-08 01:33,SELL,80.08,13.207205,-1.71%,1056.58,跌幅超過1.5%停損
