time,action,price,qty_btc,pnl_pct,capital_after,reason
2026-07-05 19:33,BUY,80.93,12.344013,,0.00,策略訊號進場
2026-07-05 22:03,SELL,81.79,12.344013,+0.86%,1008.61,RSI(9)>62超買出場
2026-07-06 00:33,BUY,81.23,12.404280,,0.00,策略訊號進場
2026-07-06 01:03,SELL,82.20,12.404280,+0.99%,1018.61,RSI(9)>62超買出場
2026-07-06 03:03,BUY,81.03,12.558245,,0.00,策略訊號進場
2026-07-06 13:03,SELL,79.47,12.558245,-2.12%,997.01,跌幅超過1.5%停損
2026-07-06 23:33,BUY,82.14,12.125757,,0.00,策略訊號進場
2026-07-07 04:53,SELL,80.81,12.125757,-1.82%,978.90,跌幅超過1.5%停損
2026-07-07 19:03,BUY,81.31,12.027114,,0.00,策略訊號進場
2026-07-08 01:33,SELL,80.08,12.027114,-1.71%,962.17,跌幅超過1.5%停損
2026-07-10 07:54,BUY,78.81,12.196510,,0.00,策略訊號進場
