time,action,price,qty_btc,pnl_pct,capital_after,reason
2026-06-16 17:30,BUY,65754.60,0.015193,,0.00,策略訊號進場
2026-06-17 02:10,SELL,65938.90,0.015193,+0.08%,1000.80,觸及布林上軌停利
2026-06-17 12:30,BUY,64684.90,0.015456,,0.00,策略訊號進場
2026-06-17 13:50,SELL,65282.20,0.015456,+0.72%,1008.02,觸及布林上軌停利
2026-06-19 11:20,BUY,62490.10,0.016115,,0.00,策略訊號進場
2026-06-19 13:10,SELL,62832.90,0.016115,+0.35%,1011.53,觸及布林上軌停利
2026-06-28 01:20,BUY,60080.00,0.016820,,0.00,策略訊號進場
2026-06-28 05:20,SELL,60018.60,0.016820,-0.30%,1008.47,跌破布林下軌停損（動態）
2026-06-29 00:30,BUY,59213.60,0.017014,,0.00,策略訊號進場
2026-06-29 03:20,SELL,60009.10,0.017014,+1.14%,1019.98,觸及布林上軌停利
2026-06-30 09:50,BUY,59363.00,0.017165,,0.00,策略訊號進場
2026-06-30 12:20,SELL,59012.30,0.017165,-0.79%,1011.93,跌破布林下軌停損（動態）
2026-06-30 15:00,BUY,58482.40,0.017286,,0.00,策略訊號進場
