time,action,price,qty_btc,pnl_pct,capital_after,reason
2026-06-15 18:20,BUY,66805.90,0.014954,,0.00,策略訊號進場
2026-06-16 00:50,SELL,66418.30,0.014954,-0.78%,992.21,RSI(9)>62超買停利
2026-06-16 02:20,BUY,66069.10,0.015003,,0.00,策略訊號進場
2026-06-16 05:20,SELL,66018.50,0.015003,-0.28%,989.47,RSI(9)>62超買出場
2026-06-16 11:31,BUY,66481.60,0.014869,,0.00,策略訊號進場
2026-06-16 16:51,SELL,65805.30,0.014869,-1.22%,977.45,RSI(9)>62超買出場
2026-06-16 17:30,BUY,65754.60,0.014850,,0.00,策略訊號進場
2026-06-16 18:01,SELL,65981.20,0.014850,+0.14%,978.86,RSI(9)>62超買出場
2026-06-16 20:27,BUY,65769.20,0.014868,,0.00,策略訊號進場
2026-06-16 22:20,SELL,65842.60,0.014868,-0.09%,977.99,RSI(9)>62超買出場
2026-06-16 23:30,BUY,65739.30,0.014862,,0.00,策略訊號進場
2026-06-17 02:37,SELL,66112.50,0.014862,+0.37%,981.58,RSI(9)>62超買出場
2026-06-17 04:50,BUY,65928.20,0.014874,,0.00,策略訊號進場
2026-06-17 05:50,SELL,65915.90,0.014874,-0.22%,979.43,RSI(9)>62超買出場
2026-06-17 06:40,BUY,65651.70,0.014904,,0.00,策略訊號進場
2026-06-17 13:20,SELL,65079.60,0.014904,-1.07%,968.96,RSI(9)>62超買出場
2026-06-17 18:20,BUY,65296.60,0.014825,,0.00,策略訊號進場
2026-06-18 04:20,SELL,63929.20,0.014825,-2.29%,946.77,跌幅超過2%停損
2026-06-22 09:50,BUY,64127.00,0.014749,,0.00,策略訊號進場
2026-06-22 12:31,SELL,64952.20,0.014749,+1.08%,957.04,RSI(9)>62超買出場（獲利≥1%確認）
2026-06-22 16:01,BUY,64835.00,0.014746,,0.00,策略訊號進場
2026-06-22 22:50,SELL,63847.00,0.014746,-1.72%,940.57,跌幅超過1.5%停損
2026-06-22 23:47,BUY,63994.30,0.014683,,0.00,策略訊號進場
2026-06-23 06:30,SELL,62772.80,0.014683,-2.10%,920.78,跌幅超過1.5%停損
2026-06-24 07:30,BUY,62676.60,0.014676,,0.00,策略訊號進場
2026-06-24 13:50,SELL,61498.10,0.014676,-2.08%,901.66,跌幅超過1.5%停損
