time,action,price,qty_btc,pnl_pct,capital_after,reason
2026-06-15 18:20,BUY,1830.54,0.545741,,0.00,策略訊號進場
2026-06-16 02:20,BUY,1784.66,0.548890,,0.00,策略訊號進場
2026-06-16 07:01,SELL,1771.64,0.548890,-0.93%,971.46,RSI(9)>62超買出場
2026-06-16 11:20,BUY,1794.83,0.540715,,0.00,策略訊號進場
2026-06-16 12:20,SELL,1809.44,0.540715,+0.61%,977.41,RSI(9)>62超買出場
2026-06-16 14:30,BUY,1772.22,0.550968,,0.00,策略訊號進場
2026-06-16 17:50,SELL,1784.65,0.550968,+0.50%,982.30,RSI(9)>62超買出場
2026-06-16 20:31,BUY,1789.86,0.548267,,0.00,策略訊號進場
2026-06-17 02:40,SELL,1805.70,0.548267,+0.68%,989.02,RSI(9)>62超買出場
2026-06-17 04:50,BUY,1795.44,0.550298,,0.00,策略訊號進場
2026-06-17 05:50,SELL,1796.33,0.550298,-0.15%,987.53,RSI(9)>62超買出場
2026-06-17 06:30,BUY,1788.85,0.551495,,0.00,策略訊號進場
2026-06-17 11:00,SELL,1768.45,0.551495,-1.34%,974.32,RSI(9)>62超買出場
2026-06-17 11:50,BUY,1765.67,0.551260,,0.00,策略訊號進場
2026-06-17 16:31,SELL,1784.86,0.551260,+0.88%,982.94,RSI(9)>62超買出場（獲利確認）
2026-06-19 17:00,BUY,1696.66,0.578758,,0.00,策略訊號進場
2026-06-19 19:20,SELL,1702.16,0.578758,+0.12%,984.15,RSI(9)>62超買出場（獲利確認）
2026-06-19 20:30,BUY,1702.75,0.577402,,0.00,策略訊號進場
2026-06-19 21:10,SELL,1708.85,0.577402,+0.16%,985.71,RSI(9)>62超買出場（獲利確認）
2026-06-20 02:15,BUY,1707.26,0.576785,,0.00,策略訊號進場
2026-06-20 04:30,SELL,1713.03,0.576785,+0.14%,987.06,RSI(9)>62超買出場（獲利確認）
2026-06-20 08:30,BUY,1723.68,0.572076,,0.00,策略訊號進場
2026-06-20 15:30,SELL,1742.27,0.572076,+0.88%,995.71,RSI(9)>62超買出場（獲利確認）
2026-06-20 17:30,BUY,1729.98,0.574989,,0.00,策略訊號進場
2026-06-22 01:30,SELL,1752.75,0.574989,+1.11%,1006.80,RSI(9)>62超買出場（獲利≥1%確認）
2026-06-22 05:01,BUY,1735.42,0.579570,,0.00,策略訊號進場
